,job_title,working_type,salary_from,salary_to,experience
114,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
115,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
116,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
117,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
118,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
119,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
120,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
121,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
122,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
123,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
124,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
125,Продавец,полная занятость,42500.0,42500.0,без опыта
126,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
127,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
128,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
129,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
130,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
131,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
132,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
133,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
134,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
135,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
136,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
137,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
138,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
139,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
140,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
141,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
142,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
143,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
144,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
145,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
146,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
147,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
148,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
149,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
150,Продавец,полная занятость,42500.0,42500.0,без опыта
151,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
152,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
153,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
154,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
155,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
156,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
157,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
158,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
159,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
160,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
161,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
162,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
163,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
164,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
