,job_title,working_type,salary_from,salary_to,experience
245,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
246,Менеджер по продажам,полная занятость,,,1-3 года
247,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
248,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
249,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
250,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
251,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
252,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
253,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
254,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
255,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
256,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
257,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
258,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
259,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
260,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
261,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
262,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
263,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
264,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
265,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
266,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
267,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
268,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
269,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
270,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
271,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
272,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
273,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
274,Менеджер по продажам,полная занятость,,,1-3 года
275,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
276,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
277,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
278,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
279,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
280,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
281,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
282,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
283,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
284,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
285,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
286,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
287,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
288,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
289,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
290,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
291,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
292,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
293,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
294,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
295,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
296,Менеджер по продажам,полная занятость,,,1-3 года
297,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
298,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
299,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
300,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
